Timestamp,1. Please select your Gender.,2. What is your age?,3. Please select your education level?,4. What is your marital status?,5. Where do you live in?,6. How long do you sleep?,7. What is your profession?,8. What are the gadgets you are using (multiple response)?,9. What type of talking device do you have?,"10. Before COVID-19, how long were you using Phone per day?","11. During COVID-19 (2020-2022), how long were you using Phone per day?","12. Since 2023, how long have you been using Phone per day?",13. What type of internet connection do you use?,"14a. Before COVID-19, how long did you use the internet per day?","14b. During COVID-19 (2020-2022), how long did you use the internet per day?","14c. Starting from 2023, how long did you use the internet per day?","15a. Before COVID-19, how long did you use Computer (laptop/desktop) per day?","15b. During COVID-19 (2020-2022), how long did you use Computer (laptop/desktop) per day?","15c. Starting from 2023, how long did you use Computer (laptop/desktop) per day?",16. Are you using internet in your computer?,"17. Before COVID-19, how many hours of internet per day you used in computer?","18. During COVID-19 (2020-2022), how many hours of internet per day you used in computer?","19. Starting from 2023, how many hours of internet per day you used in computer?",20. Do you feel like any physical & mental changes due to use of internet? Check all that apply.,21. Do you think that during COVID-19 period online use has increased?,22. Which purpose you are using online?,23. Which type of family do you come from?,24. Are you currently living with family?,25. Do you like to do physical exercise?,26. Are you a smoker?,"27.  ""I like most parts of my personality.""","28. ""When I look at the story of my life, I am pleased with how things have turned out so far.""","29. ""Some people wander aimlessly through life, but I am not one of them.""","30. ""The demands of everyday life often get me down.""","31. ""In many ways I feel disappointed about my achievements in life.""","32. ""Maintaining close relationships has been difficult and frustrating for me.""","33. ""I live life one day at a time and don't really think about the future.""","34. ""In general, I feel I am in charge of the situation in which I live.""","35. ""I am good at managing the responsibilities of daily life.""","36. ""I sometimes feel as if I've done all there is to do in life.""","37. ""For me, life has been a continuous process of learning, changing, and growth.""","38. ""I think it is important to have new experiences that challenge how I think about myself and the world.""","39. ""People would describe me as a giving person, willing to share my time with others.""","40. ""I gave up trying to make big improvements or changes in my life a long time ago""","41. ""I tend to be influenced by people with strong opinions""","42. . ""I have not experienced many warm and trusting relationships with others.""","43. ""I have confidence in my own opinions, even if they are different from the way most other people think.""","44. ""I judge myself by what I think is important, not by the values of what others think is important.""",Comments / Suggestions
3/5/2022 20:56:36,Male,15-30,Graduate University (M.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,< 1 hour,,Shortness of Temper,Yes,Others,Joint family,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
3/5/2022 23:08:18,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Others,"Smartphone, PC","Cell phone, Smart phone",4-8 Hours,4-8 Hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,8- 11 hours,Above 11 hours,,No,> 10 hours,> 10 hours,,"Insomnia, Concentration breaks, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Video, Gaming, Social media, News",Nuclear family,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
3/5/2022 23:41:05,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,"Student, Self-employed, Job candidate","Smartphone, Laptop",Smart phone,0- 4 hours,4-8 Hours,,"Broad band, Mobile data",< 1 hour,1-5 hours,,4-8 Hours,8- 11 hours,,No,1-5 hours,5-10 hours,,"Depression, Concentration breaks, Shortness of Temper, Sleep disorder, Decreased attention, Eye side problem",Yes,"Educational, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/6/2022 18:36:49,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",1-5 hours,5-10 hours,,0- 4 hours,4-8 Hours,,Yes,< 1 hour,1-5 hours,,"Anxiety, Insomnia, Depression, Concentration breaks, Headache, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Video, Social media, Shopping, News",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/6/2022 20:24:18,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,0- 4 hours,,Broad band,5-10 hours,5-10 hours,,4-8 Hours,4-8 Hours,,Yes,5-10 hours,5-10 hours,,"Anxiety, Concentration breaks, Shortness of Temper, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Video, Social media, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/6/2022 21:47:54,Male,31-45,Graduate University (M.Sc.),Married,Urban area,Above 6 hours,Education-related position,"Smartphone, Tab, PC, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,8- 11 hours,8- 11 hours,,No,5-10 hours,5-10 hours,,,Yes,"Educational, Video, Official",Joint family,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
3/7/2022 2:56:02,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,5-10 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,1-5 hours,,"Depression, Concentration breaks, Headache, Shortness of Temper, Sleep disorder",Yes,"Educational, Messaging, Social media",Joint family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/7/2022 10:14:00,Male,46-60,Higher/Advanced studies University (Ph.D.),Married,Urban area,Less than 6 hours,Education-related position,"Smartphone, PC, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",5-10 hours,> 10 hours,,8- 11 hours,Above 11 hours,,Yes,5-10 hours,> 10 hours,,"Headache, Eye side problem",Yes,"Educational, Messaging, Social media, News, Official",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/7/2022 14:06:35,Male,31-45,Graduate University (M.Sc.),Unmarried,Rural area,Above 6 hours,Officer/Staff/Service holder,"Smartphone, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,< 1 hour,,"Anxiety, Concentration breaks, Headache, Sleep disorder, Discomfort in face to face communication, Decreased attention, Eye side problem",No,"Educational, Messaging, Video, Social media, News, Official",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/7/2022 18:15:31,Female,31-45,Graduate University (M.Sc.),Married,Urban area,Less than 6 hours,Education-related position,"Smartphone, PC, Laptop","Smart phone, Others (Tablet, notebook etc.)",0- 4 hours,Above 11 hours,,Broad band,1-5 hours,> 10 hours,,0- 4 hours,Above 11 hours,,Yes,1-5 hours,> 10 hours,,"Anxiety, Headache, Eye side problem",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Official",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/7/2022 22:19:07,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop","Cell phone, Smart phone",0- 4 hours,4-8 Hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,1-5 hours,,"Headache, Sleep disorder",Yes,"Educational, Messaging, Video, Gaming, Social media",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/8/2022 1:50:39,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,4-8 Hours,,Broad band,5-10 hours,> 10 hours,,0- 4 hours,4-8 Hours,,Yes,1-5 hours,5-10 hours,,"Concentration breaks, Headache, Shortness of Temper, Sleep disorder, Discomfort in face to face communication, Decreased attention, Hearing loss, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Shopping, News",Nuclear family,Yes,No,No,,,,,,,,,,,,,,,,,,,
3/8/2022 5:28:11,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,8- 11 hours,Above 11 hours,,"Broad band, Mobile data",5-10 hours,> 10 hours,,0- 4 hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Anxiety, Insomnia, Depression, Concentration breaks, Sleep disorder, Decreased attention, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Shopping",Nuclear family,No,No,No,,,,,,,,,,,,,,,,,,,
3/8/2022 19:32:51,Female,31-45,Graduate University (M.Sc.),Married,Urban area,Above 6 hours,Officer/Staff/Service holder,"Smartphone, PC, Laptop",Smart phone,0- 4 hours,0- 4 hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,8- 11 hours,8- 11 hours,,Yes,5-10 hours,5-10 hours,,"Concentration breaks, Eye side problem",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Official",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/9/2022 16:33:37,Male,31-45,Graduate University (M.Sc.),Married,Urban area,Less than 6 hours,Officer/Staff/Service holder,"Smartphone, PC",Smart phone,0- 4 hours,0- 4 hours,,Mobile data,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,< 1 hour,,Sleep disorder,Yes,"Educational, Messaging, Social media, Shopping, News, Official",Joint family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/11/2022 12:59:35,Male,31-45,Undergraduate University (B.Sc.),Married,Urban area,Above 6 hours,Officer/Staff/Service holder,"Smartphone, PC",Smart phone,8- 11 hours,8- 11 hours,,"Broad band, Mobile data",5-10 hours,5-10 hours,,8- 11 hours,8- 11 hours,,Yes,5-10 hours,5-10 hours,,,Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Official",Nuclear family,Yes,No,No,,,,,,,,,,,,,,,,,,,
3/13/2022 19:48:49,Female,31-45,Higher/Advanced studies University (Ph.D.),Married,Urban area,Less than 6 hours,Education-related position,"Smartphone, Laptop","Cell phone, Smart phone, Others (Tablet, notebook etc.)",0- 4 hours,0- 4 hours,,"Broad band, Mobile data",5-10 hours,> 10 hours,,8- 11 hours,Above 11 hours,,Yes,5-10 hours,> 10 hours,,"Concentration breaks, Sleep disorder, Others",Yes,"Educational, Messaging, Video, News, Official",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/13/2022 20:34:05,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, PC, Laptop","Cell phone, Smart phone",4-8 Hours,4-8 Hours,,Broad band,5-10 hours,> 10 hours,,4-8 Hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Headache, Sleep disorder, Discomfort in face to face communication, Eye side problem",Yes,"Educational, Messaging, Social media, Shopping, Official",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/15/2022 9:29:03,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,8- 11 hours,,Broad band,> 10 hours,5-10 hours,,0- 4 hours,4-8 Hours,,No,1-5 hours,5-10 hours,,"Headache, Decreased attention",Yes,"Educational, Social media",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/15/2022 17:43:31,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,"Student, Job candidate","Smartphone, Tab, PC, Laptop",Smart phone,4-8 Hours,8- 11 hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,8- 11 hours,Above 11 hours,,Yes,> 10 hours,> 10 hours,,"Anxiety, Insomnia, Depression, Headache, Shortness of Temper, Sleep disorder, Decreased attention, Eye side problem",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/16/2022 14:39:13,Male,Above 60,Higher/Advanced studies University (Ph.D.),Married,Urban area,Above 6 hours,Education-related position,"Smartphone, PC, Laptop","Cell phone, Smart phone",4-8 Hours,0- 4 hours,,"Broad band, Mobile data",< 1 hour,< 1 hour,,0- 4 hours,4-8 Hours,,Yes,< 1 hour,1-5 hours,,"Anxiety, Insomnia, Depression, Concentration breaks, Headache, Shortness of Temper, Sleep disorder, Discomfort in face to face communication, Decreased attention, Eye side problem",Yes,"Educational, News",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/17/2022 15:29:38,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Self-employed,"Smartphone, PC, Laptop",Smart phone,0- 4 hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,4-8 Hours,8- 11 hours,,No,5-10 hours,< 1 hour,,"Concentration breaks, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Official",Joint family,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
3/21/2022 14:26:53,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Job candidate,"Smartphone, Laptop",Smart phone,4-8 Hours,4-8 Hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,5-10 hours,,"Concentration breaks, Headache, Shortness of Temper, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Gaming, Social media, Shopping, News",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:33:45,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Smartphone,Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,5-10 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,1-5 hours,,Depression,No,Educational,Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:35:02,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Tab, PC, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,4-8 Hours,,Yes,1-5 hours,1-5 hours,,"Insomnia, Headache, Shortness of Temper, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Gaming, Shopping, Others",Nuclear family,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
4/13/2022 22:36:48,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop","Cell phone, Smart phone",4-8 Hours,Above 11 hours,,Broad band,1-5 hours,5-10 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,5-10 hours,,"Concentration breaks, Shortness of Temper, Eye side problem",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Others",Joint family,Yes,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:37:14,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,4-8 Hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,< 1 hour,,"Headache, Sleep disorder",Yes,"Educational, Messaging, Social media, News",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:37:24,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop","Cell phone, Smart phone",4-8 Hours,8- 11 hours,,"Broad band, Mobile data",5-10 hours,> 10 hours,,4-8 Hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Anxiety, Depression, Concentration breaks, Sleep disorder, Others",Yes,"Educational, Messaging, Video, Social media, News, Others",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:39:17,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,8- 11 hours,,Broad band,< 1 hour,> 10 hours,,4-8 Hours,8- 11 hours,,No,1-5 hours,5-10 hours,,"Anxiety, Concentration breaks, Headache, Sleep disorder, Hearing loss, Eye side problem",Yes,"Educational, Social media, Shopping, News",,No,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:39:20,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,8- 11 hours,,Broad band,5-10 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,5-10 hours,,"Depression, Concentration breaks, Shortness of Temper, Sleep disorder, Discomfort in face to face communication, Decreased attention",Yes,Social media,Nuclear family,Yes,No,,,,,,,,,,,,,,,,,,,,
4/13/2022 22:39:41,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,Smartphone,"Cell phone, Smart phone",8- 11 hours,Above 11 hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,< 1 hour,,"Depression, Concentration breaks, Sleep disorder, Discomfort in face to face communication, Eye side problem",Yes,"Educational, Messaging, Social media, News",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:40:00,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,Above 11 hours,Above 11 hours,,"Broad band, Mobile data",5-10 hours,> 10 hours,,4-8 Hours,8- 11 hours,,Yes,5-10 hours,5-10 hours,,"Anxiety, Insomnia, Depression, Concentration breaks, Headache, Sleep disorder, Decreased attention, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Shopping, News, Official, Others",Nuclear family,Yes,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:40:33,Male,15-30,Undergraduate University (B.Sc.),Married,Urban area,Above 6 hours,Student,"Smartphone, PC",Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,> 10 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,< 1 hour,,Anxiety,Yes,"Educational, Video, Gaming, Social media",Nuclear family,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
4/13/2022 22:44:38,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,Above 11 hours,,Broad band,1-5 hours,5-10 hours,,0- 4 hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Headache, Sleep disorder, Eye side problem",Yes,"Educational, Messaging, Video, Social media",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:51:48,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Rural area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,1-5 hours,,Eye side problem,Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, Others",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:52:52,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,Laptop,Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,1-5 hours,,"Depression, Sleep disorder, Decreased attention",Yes,"Educational, Social media, News, Others",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:55:40,Male,15-30,College (H.S.C.),Unmarried,Rural area,Less than 6 hours,Student,Laptop,Smart phone,0- 4 hours,8- 11 hours,,Broad band,1-5 hours,5-10 hours,,8- 11 hours,Above 11 hours,,Yes,5-10 hours,> 10 hours,,"Insomnia, Eye side problem",Yes,"Educational, Video, Social media, News",Nuclear family,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
4/13/2022 22:56:03,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Smartphone,Cell phone,4-8 Hours,4-8 Hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,1-5 hours,,Others,Yes,"Educational, Video, Gaming, Social media, News, Others",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:58:04,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop","Cell phone, Smart phone",4-8 Hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,5-10 hours,,4-8 Hours,0- 4 hours,,Yes,1-5 hours,5-10 hours,,,Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News",Joint family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 22:58:26,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Laptop,Smart phone,0- 4 hours,4-8 Hours,,Broad band,5-10 hours,5-10 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,1-5 hours,,Headache,Yes,"Educational, Messaging, Video, Gaming, Social media, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:00:09,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Rural area,Above 6 hours,Student,"Smartphone, PC",Smart phone,4-8 Hours,0- 4 hours,,Broad band,5-10 hours,1-5 hours,,4-8 Hours,4-8 Hours,,Yes,5-10 hours,1-5 hours,,"Discomfort in face to face communication, Others",Yes,"Educational, Messaging, Gaming, Social media, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:07:32,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Rural area,Above 6 hours,Student,"Smartphone, PC",Smart phone,4-8 Hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,5-10 hours,,0- 4 hours,4-8 Hours,,Yes,< 1 hour,1-5 hours,,"Anxiety, Headache, Shortness of Temper, Discomfort in face to face communication, Decreased attention",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:07:56,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Smartphone,Smart phone,0- 4 hours,0- 4 hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,No,1-5 hours,1-5 hours,,Others,Yes,Gaming,Nuclear family,No,Yes,,,,,,,,,,,,,,,,,,,,
4/13/2022 23:07:58,Male,15-30,College (H.S.C.),Unmarried,Rural area,Less than 6 hours,Student,"Smartphone, PC",Smart phone,0- 4 hours,4-8 Hours,,"Broad band, Mobile data",< 1 hour,< 1 hour,,,4-8 Hours,,No,,,,,Yes,"Educational, Messaging, Video, News",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:10:25,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, PC",Smart phone,4-8 Hours,8- 11 hours,,"Broad band, Mobile data",1-5 hours,> 10 hours,,0- 4 hours,4-8 Hours,,Yes,1-5 hours,5-10 hours,,"Anxiety, Insomnia, Depression, Concentration breaks, Headache, Shortness of Temper, Sleep disorder, Discomfort in face to face communication, Decreased attention, Eye side problem, Others",,"Educational, Messaging, Video, Social media, News, Others",Joint family,Yes,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:11:29,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,8- 11 hours,,Broad band,1-5 hours,5-10 hours,,4-8 Hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Depression, Headache, Shortness of Temper, Sleep disorder",Yes,"Educational, Messaging, Video, Social media, News, Official",Nuclear family,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
4/13/2022 23:15:29,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,8- 11 hours,,Broad band,1-5 hours,> 10 hours,,4-8 Hours,8- 11 hours,,Yes,1-5 hours,5-10 hours,,"Anxiety, Depression, Concentration breaks, Sleep disorder, Discomfort in face to face communication, Decreased attention, Hearing loss, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Shopping, News, Others",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:18:13,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,Smartphone,Smart phone,0- 4 hours,4-8 Hours,,,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,5-10 hours,,"Anxiety, Insomnia, Concentration breaks, Headache, Eye side problem, Others",Yes,"Educational, Messaging, Video, Social media, Others",Joint family,No,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:18:58,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,4-8 Hours,,"Broad band, Mobile data",5-10 hours,5-10 hours,,,4-8 Hours,,Yes,,1-5 hours,,"Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Social media",Nuclear family,No,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:20:02,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,8- 11 hours,Above 11 hours,,Broad band,5-10 hours,> 10 hours,,0- 4 hours,4-8 Hours,,Yes,< 1 hour,1-5 hours,,"Insomnia, Depression, Concentration breaks, Headache, Sleep disorder, Discomfort in face to face communication, Decreased attention, Hearing loss, Eye side problem",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Official, Others",Nuclear family,No,No,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:46:11,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,4-8 Hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,1-5 hours,,Eye side problem,Yes,"Educational, Messaging, Video, Gaming, Social media, News",Joint family,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
4/13/2022 23:53:29,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop","Cell phone, Smart phone",0- 4 hours,0- 4 hours,,"Broad band, Mobile data",1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,1-5 hours,,"Concentration breaks, Headache, Sleep disorder",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/13/2022 23:56:24,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",,0- 4 hours,8- 11 hours,,Broad band,5-10 hours,> 10 hours,,0- 4 hours,Above 11 hours,,Yes,1-5 hours,5-10 hours,,Discomfort in face to face communication,Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News, Official",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
4/14/2022 0:01:19,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Laptop,Smart phone,0- 4 hours,4-8 Hours,,Broad band,5-10 hours,> 10 hours,,0- 4 hours,4-8 Hours,,Yes,1-5 hours,5-10 hours,,Sleep disorder,Yes,Others,Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
